Skills,Nombre
gestion de las emociones,Gestion de las emociones
capacidad de decision,Capacidad de decision
creacion de equipos,Creacion de equipos
resolucion de problemas,Resolucion de problemas
servicio al cliente,Servicio al cliente
trabajo en equipo,Trabajo en Equipo
pensamiento critico,Pensamiento critico
escucha activa,Escucha activa
adaptabilidad,Adaptabilidad
administracion,Administracion
analisis,Analisis
aprendizaje,Aprendizaje
autoconfianza,Autoconfianza
comunicacion,Comunicacion
creatividad,Creatividad
docencia,Docencia
empatia,Empatia
iniciativa,Iniciativa
innovacion,Innovacion
investigacion,Investigacion
lean,Lean
liderazgo,Liderazgo
negociacion,Negociacion
organizacion,Organizacion
redaccion,Redaccion
superacion,Superacion
proactividad,Proactividad
eficiencia,Eficiencia
determinacion,Determinacion
versatilidad,Versatilidad
confianza,Confianza
inspiracion,Inspiracion
flexibilidad,Flexibilidad
