id,idSemantico,name,areaName
6,comercial-ventas-y-negocios,Comercial. Ventas y Negocios,Ventas
1,administracion-contabilidad-y-finanzas,Administración. Contabilidad y Finanzas,Contabilidad / Finanzas
14,marketing-y-publicidad,Marketing y Publicidad,Mercadotecnia / Publicidad / Comunicación
3,abastecimiento-y-logistica,Abastecimiento y Logística,Almacén / Logística / Transporte
16,produccion-y-manufactura,Producción y Manufactura,Producción / Operarios / Manufactura
22,oficios-y-otros,Oficios y Otros,Servicios Generales. Aseo y Seguridad
30,ingenierias,Ingenierías,Ingeniería
25,atencion-al-cliente-call-center-y-telemarketing,Atención al Cliente. Call Center y Telemarketing,CallCenter / Telemercadeo
23,salud-medicina-y-farmacia,Salud. Medicina y Farmacia,Medicina / Salud
17,recursos-humanos-y-capacitacion,Recursos Humanos y Capacitación,Recursos Humanos
19,tecnologia-sistemas-y-telecomunicaciones,Tecnología. Sistemas y Telecomunicaciones,Informática / Telecomunicaciones
10,gastronomia-y-turismo,Gastronomía y Turismo,Hostelería / Turismo
31,diseno,Diseño,Diseño / Artes gráficas
2,aduana-y-comercio-exterior,Aduana y Comercio Exterior,Compras / Comercio Exterior
9,educacion-docencia-e-investigacion,Educación. Docencia e Investigación,Docencia
4,ingenieria-civil-y-construccion,Ingeniería Civil y Construcción,Construcción y obra
18,comunicacion-relaciones-institucionales-y-publicas,Comunicación. Relaciones Institucionales y Públicas,Mercadotecnia / Publicidad / Comunicación
26,secretarias-y-recepcion,Secretarias y Recepción,Atención a clientes
13,legales,Legales,Legal / Asesoría
28,seguros,Seguros,Servicios Generales. Aseo y Seguridad
35,sociologia-trabajo-social,Sociología / Trabajo Social,Otros
11,gerencia-y-direccion-general,Gerencia y Dirección General,Dirección / Gerencia
36,departamento-tecnico,Departamento Tecnico,Mantenimiento y Reparaciones Técnicas
29,mineria-petroleo-y-gas,Minería. Petróleo y Gas,Minería / Petroleo y Gas
33,enfermeria,Enfermería,Medicina / Salud
38,naviero-maritimo-portuario,Naviero. Maritimo. Portuario,Naviero / Marítimo / Portuario
